Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
22/10/13,40351.44141,40889.42188,40301.51953,40813.48047,181235100,12.84447,-0.010953497,-0.000354113,-0.011181158,0.1333,0.0017,-0.0533,0.040081,-3.90E-05,-8.60E-05,-0.000219
23/10/13,40818.10938,40826.10156,40385.96875,40552.58984,184005300,12.98554,0.010982937,-0.0000909,0.010882985,0.1342,0.0009,-0.0129,0.040015,-6.60E-05,-0.000118,-0.000375
24/10/13,40554.03125,40689.85156,40165.07813,40246.73047,225168000,12.96069,-0.001913667,0.009048252,0.014239287,0.132,-0.0022,-0.0028,0.040035,2.00E-05,-6.50E-05,-0.000251
25/10/13,40281.87109,40679.85156,39870.57031,40671.60938,289192300,12.87722,-0.006440244,-0.008341586,0.00219472,0.1309,-0.0011,0.0005,0.039767,-0.000268,-0.000333,-0.000588
28/10/13,40671.60938,41152.91016,40648.41016,41125.01953,220149100,12.87552,-0.000132016,-0.006571409,-0.008562593,0.1331,0.0022,0.0015,0.037972,-0.001795,-0.002148,-0.002355
29/10/13,41125.01953,41329.19141,41091.10156,41284.37891,225528200,12.92826,0.004096145,0.003963588,0.00652343,0.1341,0.001,0.0008,0.0379,-7.20E-05,-0.002181,-0.002365
30/10/13,41288.62891,41370.58984,40833.08984,41050.08984,191371900,12.95235,0.00186336,0.005967138,-0.00255592,0.1365,0.0024,0.0023,0.03782,-8.00E-05,-0.002195,-0.00249
31/10/13,41047.91016,41077.60938,40636.32813,41038.64844,251515700,13.0151,0.004844681,0.006717068,0.004198079,0.1375,0.001,0.0055,0.037781,-3.90E-05,-0.002254,-0.002474
01/11/13,41028.83984,41111.57031,40821.71875,41079.60938,147524800,13.0557,0.003119454,0.007979247,0.013860134,0.1328,-0.0047,0.0019,0.037853,7.20E-05,-0.001914,-0.002488
04/11/13,41084.71094,41338.44141,40918.76172,41013.71875,118322100,12.98319,-0.005553896,-0.002451768,0.008362381,0.1293,-0.0035,-0.0038,0.037812,-4.10E-05,-0.00016,-0.002513
05/11/13,41014.53906,41039.28906,40231.32813,40304.44922,248550400,13.1614,0.013726211,0.008096081,0.018033363,0.1327,0.0034,-0.0014,0.037895,8.30E-05,-5.00E-06,-0.002375
06/11/13,40294.94141,40491.85938,40179.80859,40280.08984,262125600,13.16628,0.000370781,0.014102081,0.016516694,0.1267,-0.006,-0.0098,0.03785,-4.50E-05,3.00E-05,-0.002385
07/11/13,40282.69922,40515.19141,40002.37109,40009.89844,231898800,13.22025,0.004099108,0.004471409,0.015762461,0.1391,0.0124,0.0016,0.03782,-3.00E-05,3.90E-05,-0.00248
08/11/13,40003.08984,40013.46875,39432.17188,39864.16016,302113400,13.16273,-0.004350901,-0.000269628,0.008197952,0.129,-0.0101,-0.0038,0.037775,-4.50E-05,-7.80E-05,-0.002425
11/11/13,39863.44922,40038.57031,39647.69922,39686.82813,185506400,13.21698,0.004121485,-0.000247348,0.018007131,0.1253,-0.0037,-0.004,0.037765,-1.00E-05,-4.70E-05,-0.00242
