Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d,Simple_return_1,Simple_return_2,Simple_return_4,Simple_return_20,std_dev_return_10,Lagged_Return_1_1,Lagged_Return_1_2,Lagged_Return_1_3,Lagged_Return_1_5,Lagged_Return_1_10,Lagged_Return_5_3,Lagged_Return_5_5,Lagged_Return_5_10,Lagged_Return_10_1,Lagged_Return_10_3,Lagged_Return_10_5,Lagged_Return_10_10,RSI_28,%K_14,ADX_14,ADX_28,OBV,OBV_Change_1,OBV_Change_3,OBV_Change_5,OBV_Change_10,ATR_14,CLV,Chaikin_Oscillator_5_15,PVO_12_26,Date,forward_return,return_category,Close
63378000.0,9.7928,-0.004918099,-0.008514817,0.01015019,0.4508,0.0379,0.1375,0.0795,-0.0007,0.002,-0.007,-0.01952804864599189,-0.03848512766604528,-0.07983965014734307,-0.14708914865231093,0.02384658930915282,-0.019334646946171263,-0.04414757231793298,0.0011903655374010391,0.03447877514799713,-0.035209384662048815,0.001900020655495327,-0.001627489621572109,-0.04052836700712914,-0.10924024628538209,-0.05956946343240255,-0.04208989713201783,-0.057804665261517174,34.897515546231986,3.513957268000947,30.191621743292643,15.009456969520839,-171641000.0,-63378000.0,-269293800.0,-249893400.0,-318579000.0,160.91423685714275,-0.5321895415891138,-17567497.497405566,0.4295503034903858,2002-08-05,0.03848059845417362,1,5534.470215
85663600.0,9.7473,-0.004646271,-0.009541519,0.000646751,0.4203,-0.0305,0.1011,0.0785,-0.001,0.0015,-0.0068,0.03848059845417362,0.018201098809641714,-0.04556745282314423,-0.11043426004926826,0.026184613574490583,-0.01952804864599189,-0.019334646946171263,-0.04414757231793298,-0.014613607854314314,-0.03621623747718428,-0.028088494477150117,0.020750425846628673,-0.06708981240722045,-0.09476217945355847,-0.10535557137541174,-0.04773152873801201,-0.08799635066680778,42.27179748044436,25.71379555973846,30.47080107750713,15.312525223268112,-85977400.0,85663600.0,-68303400.0,-96979400.0,-139013400.0,172.0235420714285,0.754658796617207,5973529.285437632,0.8759508487473944,2002-08-06,0.018871003805762232,1,5747.439941
76644400.0,9.7348,-0.001282406,-0.005922719,-0.005242129,0.3873,-0.033,0.067,0.07625,-0.00225,-0.00075,-0.0073,0.018871003805762232,0.058077769779812494,0.017357511729232167,-0.08088969960183856,0.026077976394882994,0.03848059845417362,-0.01952804864599189,-0.019334646946171263,0.0011903655374010391,0.02002741881093173,-0.043342487773319616,0.001900020655495327,-0.06135291228727713,-0.0246028723666466,-0.10924024628538209,-0.05956946343240255,-0.05663707500502391,39.613804820111746,38.07574132836366,28.59026301353953,15.126623155551147,-9333000.0,76644400.0,98930000.0,-106985800.0,-161913400.0,176.1249999285714,0.6176179076056213,15850682.160992622,0.3285618626237639,2002-08-07,0.02969144297371229,1,5855.899902
92845600.0,9.7335,-0.000133542,-0.001415777,-0.014518726,0.3633,-0.024,-0.0062,0.075,-0.00125,-0.0035,-0.0084,0.02969144297371229,0.04912275411282985,0.06821794102388101,-0.05639911088423799,0.027475875762286328,0.018871003805762232,0.03848059845417362,-0.01952804864599189,-0.04414757231793298,-0.014654563099260276,-0.09328651266317844,-0.028088494477150117,-0.07950011545206992,-0.02570868957664818,-0.09476217945355847,-0.10535557137541174,-0.07321089794331759,42.12438461195038,63.118667989209015,27.60398469657221,14.575403280422691,83512600.0,92845600.0,255153600.0,101186600.0,13122600.0,182.8056988571428,0.8341302857142842,27224487.26869706,1.481431285487536,2002-08-08,-0.019330763630019954,0,6029.77002
81035600.0,9.764,0.003133508,0.002999548,-0.007844572,0.3533,-0.01,-0.0596,0.0735,-0.0015,-0.0067,-0.0091,-0.019330763630019954,0.009786721077733151,0.06843288179119766,-0.07612156185648478,0.028277903337666967,0.02969144297371229,0.018871003805762232,0.03848059845417362,-0.019334646946171263,-0.0036978463878913903,-0.04443132921121096,-0.043342487773319616,-0.06888333355443088,0.01813981953582733,-0.0246028723666466,-0.10924024628538209,-0.07811674657180412,41.839188958085906,65.16107486220504,27.42242042328238,14.274437714787227,2477000.0,-81035600.0,88454400.0,110740000.0,-374400.0,174.0550012857143,-0.924971864168357,974649.7679715613,1.2143178118255122,2002-08-09,-0.0019244848525681313,0,5913.209961
54416400.0,9.8402,0.007804179,0.010962141,0.004840291,0.3705,0.0172,-0.0803,0.073,-0.0005,-0.0065,-0.00865,-0.0019244848525681313,-0.021218046720793526,0.0268624185002162,-0.07379850758994178,0.025649507293437353,-0.019330763630019954,0.02969144297371229,0.018871003805762232,-0.01952804864599189,0.03447877514799713,-0.02755635259302658,-0.09328651266317844,-0.001627489621572109,0.002164248789529255,-0.02570868957664818,-0.09476217945355847,-0.04208989713201783,42.53600625271512,64.95589688816929,27.14243503266149,13.949499979883939,-51939400.0,-54416400.0,-42606400.0,119701600.0,-130191800.0,159.8628625714285,-0.12960489898859864,-231903.7705591903,-1.658306650776458,2002-08-12,-0.010154507196572626,0,5901.830078
57470200.0,9.9512,0.011280259,0.01917247,0.020918613,0.3582,-0.0123,-0.0621,0.074,0.001,-0.0045,-0.00745,-0.010154507196572626,-0.012059449853855653,-0.0023907512481929905,-0.07508679993642642,0.025464514760318607,-0.0019244848525681313,-0.019330763630019954,0.02969144297371229,0.03848059845417362,-0.014613607854314314,0.04756432427261825,-0.04443132921121096,0.020750425846628673,-0.0331018645309078,0.01813981953582733,-0.0246028723666466,-0.04773152873801201,41.19217397171882,55.24982237636192,27.230613826302445,13.74569295181118,-109409600.0,-57470200.0,-192922200.0,-23432200.0,-120411600.0,149.50498735714277,-1.0,-11429724.005653165,-3.6825953814901347,2002-08-13,0.03623824432998646,1,5841.899902
69410800.0,9.9668,0.00156765,0.012865592,0.023832025,0.3236,-0.0346,-0.0637,0.07515,0.00115,-0.0011,-0.00575,0.03623824432998646,0.02571575562057382,0.003952070795562479,-0.054609465577178384,0.02830093962993637,-0.010154507196572626,-0.0019244848525681313,-0.019330763630019954,0.018871003805762232,0.0011903655374010391,0.04756847250060181,-0.02755635259302658,0.001900020655495327,-0.02872642749807941,0.002164248789529255,-0.02570868957664818,-0.05956946343240255,42.76024124633018,89.5360203101078,27.975477390027915,13.7708767110637,-39998800.0,69410800.0,-42475800.0,-30665800.0,-137651600.0,154.65209949999988,0.9806735726792997,8668522.94463763,-4.006865449331243,2002-08-14,0.015281776711772554,1,6053.600098
95135000.0,9.9292,-0.003772525,-0.002210789,0.02010582,0.2943,-0.0293,-0.069,0.07535,0.0002,0.00035,-0.00355,0.015281776711772554,0.05207380580003629,0.03938637449643578,-0.044719896470974296,0.023651414350568157,0.03623824432998646,-0.010154507196572626,-0.0019244848525681313,0.02969144297371229,-0.04414757231793298,0.06637669889420472,0.04756432427261825,-0.028088494477150117,0.005274177796615653,-0.0331018645309078,0.01813981953582733,-0.10535557137541174,44.074541394257125,99.82824130977878,28.977140385694327,13.906126470837401,55136200.0,95135000.0,107075600.0,-28376400.0,72810200.0,152.39212457142852,0.9754130170031496,25182682.741711177,-1.5067516373439442,2002-08-15,0.007238763379065816,1,6146.109863
95933000.0,9.8643,-0.006536277,-0.010284143,0.010272429,0.2881,-0.0062,-0.0652,0.0759,0.00055,0.0024,-0.0035,0.007238763379065816,0.022631161256466692,0.04892889428932157,-0.023094721040331723,0.021806008879717245,0.015281776711772554,0.03623824432998646,-0.010154507196572626,-0.019330763630019954,-0.019334646946171263,0.01643513668166574,0.04756847250060181,-0.043342487773319616,0.06777628403460567,-0.02872642749807941,0.002164248789529255,-0.10924024628538209,45.35354552461727,91.48347332302274,29.56077513016316,13.963429338092617,151069200.0,95933000.0,260478800.0,148592200.0,259332200.0,145.57425342857135,-0.08607903964633076,12713802.11681068,0.4890144497912294,2002-08-16,0.001658969863570725,1,6190.600098
